file_name,route_name,route_distance_m,avg_elevation_gain_per_km,center_coordinates
trs-32km-morrinhos-do-sul.gpx,TRS Morrinhos do Sul 2024 - 32km,30489.725504248407,29.580456533606046,[-29.38739267 -49.9643004 ]
tutan-itatiaia-100-2024.gpx,TUTAN 2024 - 100km,94876.22238724907,44.534867574658634,[-22.36594549 -44.6145895 ]
tutan-itatiaia-21-2024.gpx,TUTAN 2024 - 21km,20732.331208794516,32.22985361706716,[-22.34936629 -44.56369125]
tutan-itatiaia-42-2024.gpx,TUTAN 2024 - 42km,38452.999408654556,38.28049885930875,[-22.33188805 -44.55587989]
tutan-itatiaia-70-2024.gpx,TUTAN - 70km,64019.55941808524,48.80071072650064,[-22.37911981 -44.63284011]
tutan-itatiaia-8-2024.gpx,TUTAN 2024 - 9km,8077.563473045228,31.53178564921614,[-22.32911143 -44.54324152]
utmb-170km-2020.gpx,UTMB 2020,166417.21561467776,60.480521578395376,[45.88481871  6.90137699]
utmb-2024.gpx,UTMB 2024,168759.80098119125,64.33700405471612,[45.88466799  6.90267947]
westernstates-2024.gpx,Western States Endurance Run 2024 - 100mi,161783.1941252703,34.14400815774953,[  39.0631909  -120.67076883]
wtr-arraialdocabo-30-2024.gpx,WTR Arraial do Cabo 2024 - 30k,29555.043419286223,23.481609894950402,[-22.9661741  -42.02650166]
wtr-campos-19-2024.gpx,WTR Campos do Jordão - 18 km,18805.565414317498,42.57569407567099,[-22.7009044  -45.57195602]
wtr-campos-37-2024.gpx,WTR Campos do Jordao 2024 - 37k,36005.702371126754,40.04365711682907,[-22.69571937 -45.58139713]
wtr-campos-50-2024.gpx,WTR Campos do Jordao 2024 - 50K,48662.46797661328,38.090957509405904,[-22.70170029 -45.58783689]
wtr-florestadatijuca-23-2024.gpx,WTR Floresta da Tijuca 2024 - 23km,22010.608207342535,63.12865082648999,[-22.96943401 -43.25033131]
wtr-miguelpereira-30-2024.gpx,WTR Miguel Pereira 2024 - 30km,33689.915831645136,68.0322269563853,[-22.48593447 -43.47490662]
wtr-novalima-28-2024.gpx,WTR Nova Lima 2024 - 28km,27664.795404029184,33.98904587102249,[-20.05219643 -44.00480394]
wtr-praiasselvagens-22-2024.gpx,WTR Praias Selvagens 2024 - 22km,20863.742866941062,45.01589221022166,[-23.05761615 -43.54729613]
xterra-amazonia-10k-2025.gpx,XTERRA 2025 Amazônia - Trail Run 10K,10033.10301192837,19.052231375750644,[ -3.08775856 -60.2405501 ]
xterra-amazonia-21k-2025.gpx,XTERRA 2025 Amazônia - Trail Run 21K,21788.666305932973,19.062938234402168,[ -3.09249734 -60.23346526]
xterra-amazonia-5k-2025.gpx,XTERRA 2025 Amazônia - Trail Run 5K,5349.485710539533,19.043139006670152,[ -3.08301084 -60.23999695]
xterra-belohorizonte-10k-2025.gpx,XTERRA 2025 Belo Horizonte - Trail Run 10K,10085.795076319733,27.024344430707632,[-19.96033775 -43.90141007]
xterra-belohorizonte-21k-2025.gpx,XTERRA 2025  Belo Horizonte - Trail Run 21K,21758.083770180423,36.0993646451747,[-19.95687533 -43.89895337]
xterra-belohorizonte-5k-2025.gpx,XTERRA 2025 Belo Horizonte - Trail Run 5K,5161.331062999645,21.75989073925606,[-19.96487567 -43.9069603 ]
xterra-buzios-10k-2025.gpx,XTERRA 2025 Búzios - Trail Run 10K,9366.450867174079,25.24745000571891,[-22.7583937  -41.89834394]
xterra-buzios-21k-2025.gpx,XTERRA 2025 Búzios - Trail Run 21K,21179.782781694805,28.486222272375983,[-22.76757937 -41.88950773]
xterra-buzios-5k-2025.gpx,XTERRA 2025 Búzios - Trail Run 5K,4790.254193705625,13.271529532511238,[-22.75731397 -41.89229788]
xterra-ilhabela-10k-2025.gpx,XTERRA 2025 Ilhabela - Trail Run 10K,10498.28873171476,39.33545843071407,[-23.80275086 -45.35804833]
xterra-ilhabela-21k-2025.gpx,XTERRA 2025 Ilhabela - Trail Run 21K,20859.438117006717,33.94832574242017,[-23.81922954 -45.35795994]
xterra-ilhabela-5k-2025.gpx,XTERRA 2025 Ilhabela - Trail Run 5K,4878.878120268627,40.8130711797811,[-23.80589391 -45.35835312]
xterra-ilhagrande-10k-2025.gpx,XTERRA 2025 Ilha Grande - Trail Run 10K,10197.757357951894,37.66651691319954,[-23.14472217 -44.17102363]
xterra-ilhagrande-21k-2025.gpx,XTERRA 2025 Ilha Grande - Trail Run 21K,21070.69542883501,51.46825854242631,[-23.15900974 -44.16357423]
xterra-ilhagrande-5k-2025.gpx,XTERRA 2025 Ilha Grande - Trail Run 5K,5386.729758888266,15.282741790445852,[-23.1378402  -44.16921787]
